titel;beschreibung;postleitzahl;stadt;zeit
['Klavier Uebel & Lechleiter'];['Klavier mit einigen Gebrauchsspuren aber durchaus Funktionsfähig zu verschenken. Müsste gestimmt...'];48151;['Centrum'];24.07.2020 10:51
['Canton RS 2.16 Lautsprecher - reserviert'];['Lagen lange im Keller, deshalb zu verschenken...!'];48147;['Centrum'];24.07.2020 10:48
['2x Estrichbeton 40kg zu verschenken Zement'];['Verschenke 2x Estrichbeton von je 40kg von B1', '', 'Bei Interesse einfach melden'];48163;['Amelsbüren'];24.07.2020 10:43
['Lieblingsmenü für Hunde (angebrochen)'];['Hundefutter noch von meinem Hund übrig geblieben :)'];48147;['Centrum'];24.07.2020 10:40
['10 Bilderrahmen'];['Die Rahmen sind schwarz und in folgenden Größen.', '4 > 60 x 50', '5 > 40 x 30', '1 > 24 x 18', 'Nur...'];48147;['Wienburg'];24.07.2020 10:25
['Weißes Badregal'];['Biete ein weißes Badregal. Maße: 36*23*100'];48149;['Sentrup'];24.07.2020 10:06
['#RESERVIERT TAN Generator'];['Guten Tag,', '', 'zu Verschenken biete ich einen funktionierenden TAN Generator.', '', '', 'Kein Versand, keine...'];48149;['Sentrup'];24.07.2020 09:36
['Wandtattoo To Do Liste Neu'];['Wandtattoo To Do Liste', '45 x 60 cm'];48165;['Hiltrup'];24.07.2020 09:33
['Im Land der Studendiebe / Thomas Mendl'];['Nur kurz angelesen.', 'Wie neu!', 'Gebundenes Buch', '', 'Beschreibung', 'Auf ins Land der Fantasie! Ein...'];48145;['Centrum'];24.07.2020 09:27
['Tischläufer Rot/Muster'];['L: 140cm, Versand mit zusätzlichen Kosten.'];48143;['Centrum'];24.07.2020 09:04
['Markise (manuell) zu verschenken!'];['Guten Tag,', '', 'wir bieten unsere Markise zur Selbstabholung in Münster St. Mauritz an.', '', 'Breite ca....'];48145;['Mauritz'];24.07.2020 08:47
['Elefantengras an Selbstabholer zu verschenken'];['aktuell im 65 Liter Mörtelkübel (Wurzelsperre)', 'Der Kübel kann zum Selbstkostenpreis von 5 Euro...'];48149;['Centrum'];24.07.2020 08:30
['Lattenrost Lattenroste Bettrahmen Bett Betten'];['Lattenroste: 2 Stueck 80 x 2', 'Lattenroste: 2 Stueck 90 x 2', '', 'tadelloser Zustand und keine...'];48147;['Centrum'];24.07.2020 07:44
['Grill Kohlegrill zu verschenken'];['Nutzen ihn nicht mehr, rostet siehe Bilder'];48155;['Centrum'];24.07.2020 07:24
['Pfanne von Tefal zu verschenken'];['Aufgrund von Umzug'];48147;['Centrum'];24.07.2020 07:15
['ZU VERSCHENKEN: Stabiler großer Schrank mit Schiebetüren'];['Stabiler, großer Schrank aus Holz, hellgrau/weiß lackiert mit jeweils drei Schiebetüren oben...'];48155;['Centrum'];24.07.2020 00:13
['Reserviert Keinohrhase Kuscheltier Plüsch ca. 19 cm'];['Wir verschenken einen sehr gut erhaltenen Keinohrhasen aus Plüsch.', '', 'Abholung in Münster...'];48151;['Centrum'];24.07.2020 22:14
['Lampenschirm'];['Schöner, roter Lampenschirm aus durchsichtigem Kunststoff an Selbstabholer/-\u200bin zu verschenken.'];48145;['Mauritz'];24.07.2020 21:07
['KG Rohr als Erdbeer Säule ?!? - RESERVIERT'];['KG Rohr ca. 1,25 m hoch. Wir hatten Erdbeeren eingesetzt'];48143;['Centrum'];24.07.2020 20:07
['Dakine Rucksack'];['Mit Kühlfach, und Laptopfach.'];48167;['Wolbeck'];24.07.2020 19:49
['Orange active Kapuzen Weste mit Kunstfell'];['Die Weste ist gut erhalten.', 'Versand wäre auch möglich.'];48167;['Wolbeck'];24.07.2020 18:09
['Sonnenmilch Edeka  Elkos Sun 15.'];['Die Flasche ist voll.', 'Nur Abholung.'];48153;['Centrum'];24.07.2020 16:28
['Thermobecher von Starbucks'];['Ich verkaufe meine Themobecher. Einer von diesen ist von der Marke Starbucks.', 'Beide sind in einem...'];48163;['Geist'];24.07.2020 16:09
['6 Bananenkartons zu verschenken'];['an Abholer, gerne kurzfristig.'];48151;['Centrum'];24.07.2020 15:43
['Stranger Things Schlüsselanhänger'];['Stranger Things Schlüsselanhänger zu verschenken.', '', 'Noch verpackt.'];48143;['Centrum'];24.07.2020 15:13
['Gartenplatten 50x 50cm zu verschenken'];['Ca. 30-40 Gartenplatten 50 x 50 zu verschenken', '', 'Abholung in 48151, gern am 25.7'];48149;['Centrum'];24.07.2020 14:55
['Pflastersteine Terrasse EHL Cassetta anthrazit'];['Ich biete hier einen Restposten an Pflastersteinen an.', 'Es handelt sich um Steine der Serie...'];48167;['Angelmodde'];24.07.2020 14:53
['Sekretär massiv Holz'];['Schöner alter Sekretär zu verschenken. Licht funktioniert einwandfrei!'];48167;['Wolbeck'];24.07.2020 14:50
['Klinkersteine 24x 11cm zu verschenken! Abholung 27.5'];['Habe ein paar Klinker zu verschenken.', '', '24 x 11cm', '', 'Abholung in 48151 MS, gern am 25.7'];48149;['Centrum'];24.07.2020 14:38
['Alles zu verschenken'];['Steht Im Drostebusch 2c.', 'Alles was bis Montag nicht weg ist abwandert in den Container.', 'Wäre schade'];48155;['Mauritz'];24.07.2020 14:29
['Starcraft 2'];['2 Spiele abzugeben'];48143;['Centrum'];24.07.2020 14:27
['Massage für Kopf und Rücken'];['Tier- und rauchfreier Haushalt'];48143;['Centrum'];24.07.2020 13:58
['Teilreserviert Blumentöpfe Übertöpfe'];['Teilreserviert: alle blau eingekreisten Töpfe sind reserviert.', '', 'Wie hier zu sehen in gutem Zustand,...'];48147;['Centrum'];24.07.2020 13:54
['Tür zu verschenken'];['Tür zu verschenken'];48159;['Kinderhaus'];24.07.2020 13:45
['Platten zu verschenken'];['3 Platten 60×40'];48159;['Kinderhaus'];24.07.2020 13:42
['Steine zu verschenken'];['25 Steine 10×20 und 9 Steine 10× 10'];48159;['Kinderhaus'];24.07.2020 13:40
['Lampe von Ikea'];['Voll funktionstüchtig.', 'Bitte abholen, wir verschenken die Lampe.'];48163;['Amelsbüren'];24.07.2020 13:18
['Waschmaschine'];['Waschmaschine zu verschenken. Schleudert laut und eiert ein bisschen. Wäscht allerdings Normal....'];48143;['Centrum'];24.07.2020 13:06
['RESERVIERT - 4 Wandlampen zu verschenken'];['Moin!', 'Ich verschenke diese 4 Wandlampen.', 'Lagen eine Zeit lang im Keller, sollten aber...'];48143;['Centrum'];24.07.2020 12:45
['IKEA Bürostuhl Schreibtisch Büro Stuhl Drehstuhl'];['Wir lösen unsere WG auf. Wir bitten euch, einen x-beliebigen Betrag in unsere Spardose zu tun.'];48153;['Centrum'];24.07.2020 12:28
['IKEA Sessel'];['Wir lösen unsere WG auf. Wir bitten euch, einen x-beliebigen Betrag in unsere Spardose zu...'];48153;['Centrum'];24.07.2020 12:25
['Holzanhänger'];['Höhe 12 cm, gebraucht'];48143;['Centrum'];24.07.2020 12:12
['Vier Stühle Rattan braun'];['Vier Stühle, einige zwei Stühlen sieht man deutliche Gebrauchsspuren'];48149;['Centrum'];24.07.2020 11:35
['Star Trek Amok Time Kirk vs. Spock Bobble Heads'];['zu verschenken.', '', 'Einwandfreier Zustand (ungeöffnet)'];48143;['Centrum'];24.07.2020 11:32
['Verschenke Pax Schiebetüren'];['Es handelt sich um 2x2,01 m Schiebetüren von Ikea.'];48155;['Mauritz'];24.07.2020 11:22
['RESERVIERT IKEA Dombås Kleiderschrank (B/H/T 140cm/181cm/51cm)'];['Der Schrank ist schon 2x umgezogen, hat sich aber immer wieder gut aufbauen lassen.', '', 'Er hat ein...'];48155;['Centrum'];24.07.2020 11:05
['Kies zu verschenken'];['Ich verschenke den auf den Bildern zu sehenden Kies. Von den kleineren Steinchen dürften es so ca 5...'];48155;['Centrum'];24.07.2020 10:57
['(Schlaf)sofa'];['Hallo,', 'ich möchte gerne dieses Sofa mit den Maßen 1,50m x 0,90 m (ausklappbar zu 1,50m x knapp 2 m)...'];48151;['Geist'];24.07.2020 10:55
['EIGENTLICH gut erhaltene Superfit - Sandalen 29 mit Holzlasur...'];['Gut erhaltene Superfit - Sandalen in Größe 29 - durch ein großes Missgeschick mit Holzlasur...'];48161;['Roxel'];24.07.2020 10:51
['Rustikale alte Kneipenlampe'];['Alte Kneipenleuchte', '', 'Schaut auch in meine anderen Anzeigen rein ich miste gerade alles aus!!!', '', 'Geht...'];48159;['Kinderhaus'];24.07.2020 10:25
['Zu verschenken. Ballerinas Gr. 29 dunkelblau S.Oliver'];['Zustand siehe Fotos.', '', 'V'];48167;['Wolbeck'];24.07.2020 10:15
['IKEA Tischplatte'];['Ohne Kratzer', 'Gern umsonst dazu, wenn was anderes abgeholt wird'];48159;['Sprakel'];24.07.2020 10:02
['Bilderrahmen'];['Alle zusammen abzuholen'];48157;['Handorf'];24.07.2020 10:00
['Spiegel kostenlos'];['gebrauchter Spiegel', 'Größe 80cm hoch', '60cm breit', 'kleine Macke siehe Foto'];48165;['Hiltrup'];24.07.2020 09:26
['4 Mercedes Felgen 6x15“ Zoll 1244000602 w124 w201 VW T3'];['4 Mercedesfelgen an Selbstabholer', '', 'Abholung in 48153 Münster'];48151;['Centrum'];24.07.2020 09:10
['Getränkekisten Regal'];['Regal für Getränkekisten oder Wäschekörbe zu verwenden'];48157;['Gelmer'];24.07.2020 09:06
['Cocktail Gläser zu verschenken'];['Ich verschenke Cocktail Gläser. Ein Glas hat ein kleine Macke (siehe Bild).'];48155;['Centrum'];24.07.2020 08:52
['Landesrecht Nordrhein-Westfalen 12. Auflage'];['Ich verschenke hier meine Textsammlung zum Landesrecht NRW.', '', 'Abholung in Münster Zentrum.'];48149;['Centrum'];24.07.2020 08:35
['Diverse Pflege- und Kosmetikartikel zu verschenken'];['Trockenschampoo ist reserviert!', '', 'Diverse Kosmetik- und Pflegeartikel und ein Haarreif zu...'];48145;['Centrum'];24.07.2020 08:28
['Sofatisch Couchtisch'];['Couchtisch aus Holz abzugeben.', 'Leider ist er für unsere neue Wohnung zu groß. Hat einige Macken,...'];48143;['Centrum'];24.07.2020 07:56
['Ledersofa Couch'];['Ca 170 breit. Top erhalten.'];48161;['Gievenbeck'];24.07.2020 07:46
['Res für Benjamin - Ledersofa Schlafcouch'];['Ca 200 breit. Gut erhalten! Top als Schlafsofa für Gäste'];48161;['Gievenbeck'];24.07.2020 07:45
['Ikea Bett schwarz'];['Bett ist noch vollkommen in Schuss', '80cm x 200cm', 'Abbau und Abholung selbstständig', 'Abholung am 27....'];48149;['Sentrup'];24.07.2020 04:25
['Mappen für Schule 8 Stück'];['Ich verschenke 8 Mappen für die Schule'];48165;['Hiltrup'];24.07.2020 01:19
['Hartbodenrollen gebremst'];['5 gebremste neuwertige Hartbodenrollen mit 11mm Stift 20mm lang.'];48159;['Kinderhaus'];24.07.2020 00:04
['USB auf PS/2 Maus Adapter'];['Ich verschenke drei Adapter für USB auf PS/2 Maus'];48165;['Hiltrup'];22.07.2020   2020-07-24
['Abtropffläche von Vortex Original'];['Original Verpackt und nicht einmal gebraucht.', '', 'Versand gegen Aufpreis möglich (10€)', '', 'Einfach...'];48163;['Albachten'];22.07.2020   2020-07-24
['Weichbodenrollen gebremst'];['5 gebremste Weichbodenrollen mit 10mm Stift 25mm lang neu.'];48159;['Kinderhaus'];22.07.2020   2020-07-24
['Gipskartonplatten'];['Mehrere Gipskartonplatte abzugeben. Bis Fr verfügbar.'];48163;['Amelsbüren'];22.07.2020   2020-07-24
['Baby Flaschen Desinfizierer Chicco'];['Zu verschenken'];48165;['Hiltrup'];22.07.2020   2020-07-24
['Kleiderschrank zu verschenken!'];['Kleiderschrank aus Holz im guten Zustand zu verschenken. Er hat die Maße 40x80x190cm und müsste im...'];48149;['Gievenbeck'];22.07.2020   2020-07-24
['Umzugskartons reserviert'];['Selbstabholer'];48149;['Centrum'];22.07.2020   2020-07-24
['***Whirlpool Waschmaschine***'];['Abzugeben ist eine Waschmaschine der Marke Whirlpool (59x50x85cm BxTxH). Sie ist ca. 11 Jahre alt...'];48151;['Centrum'];22.07.2020   2020-07-24
['MAISON DU MONDE KENNEDY Ecksofa 5-Sitzer Microfaser'];['Tolles Ecksofa von Maison du Monde (NP 1000 Euro) mit zeitlosem weichen Microfaserbezug zu...'];48145;['Mauritz'];22.07.2020   2020-07-24
['Stressball'];['Ich verschenke diesen Stressball mit rauch-frei Werbung'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Tretakt Lampen von Ikea'];['Lampen von Ikea, unbenutzt', '', 'Keine Garantie'];48151;['Geist'];22.07.2020   2020-07-24
['Reserviert / Creative Boxen mit Sub'];['Creative Lautsprecher mit Subwoofer und Netzteil. Die Lautstärkeregelung hat einen Wackelkontakt,...'];48143;['Centrum'];22.07.2020   2020-07-24
['Ikea Deckenlampe'];['Verkaufe meine Ikea Deckenlampe. Sie muss bis Freitag morgen abgeholt werden'];48143;['Centrum'];22.07.2020   2020-07-24
['Pflastersteine/Terrassenplatten'];['Verschiedene Größen von Terrassenplatten und pflastersteine gr. ca 20x30 cm, Höhe ca 8 cm zu...'];48165;['Hiltrup'];22.07.2020   2020-07-24
['Wohnzimmer Tisch'];['Ist zu schade im Müll. Noch Top.110cm bei 70cm groß.'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Schrank zu verschenken'];['Zu verschenken', 'Muss selbst abgeholt werden', 'Macken und Kratzer vorhanden'];48145;['Mauritz'];22.07.2020   2020-07-24
['Reserviert bis morgen 18 Uhr!Drei Damentaschen zu Verschenken!'];['Alles komplett abzugeben! Keine Versand nur Abholung in 48151 Münster.'];48151;['Centrum'];22.07.2020   2020-07-24
['Hydraulischer Durchlauferhitzer von Vaillant 21kw.'];['Hydraulischer Durchlauferhitzer von Vaillant 21kw mit Halter, funktioniert nicht richtig deswegen...'];48159;['Kinderhaus'];22.07.2020   2020-07-24
['Tisch zu verschenken!'];['Tisch zu verschenken! Abholung in Nottuln-Darup'];48153;['Centrum'];22.07.2020   2020-07-24
['Stehlampe aus Papier * Reserviert *'];['Stehlampe zu verschenken.', '1,5m hoch', 'Gibt schönes Licht.'];48145;['Mauritz'];22.07.2020   2020-07-24
['Große Schrankwand in Nussbaum zu verschenken'];['Eine große Schrankwand aus Nussbaum zu verschenken, ohne Inhalt', '', 'Breite / Länge : 3,20m', 'Höhe...'];48149;['Centrum'];22.07.2020   2020-07-24
['90cm Matratze von Ikea'];['Die Matratze ist 5 Jahre alt und von Ikea.', 'Sie ist 2 Meter lang und 90cm breit.', 'Sie hat schon...'];48153;['Geist'];22.07.2020   2020-07-24
['Herd mit Kochplatten'];['Verschenken unseren alten (!)', 'Herd mit Kochplatten und Backofen.', '', 'Nur noch 3 Herdplatten...'];48155;['Centrum'];22.07.2020   2020-07-24
['Bücher (Krimi)'];['Verschenke eine Kiste voll mit Büchern.', 'Abholung in 48165 Münster Hiltrup (Ost).'];48165;['Hiltrup'];22.07.2020   2020-07-24
['Gläser zum verschenken'];['Zum verschenken', 'Abholung in Nordwalde'];48159;['Centrum'];22.07.2020   2020-07-24
['Bambus stöcker'];['Bambus stöcker abzugeben 2 Meter lang stabil'];48155;['Wolbeck'];22.07.2020   2020-07-24
['Biete Kommode Buche Optik kostenlos reserviert bis Samstag'];['Maße', 'B 96,5', 'H 77,0', 'T 36,0', 'Die Kommode ist vollkommen intakt.'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Gläser zu verschenken.'];['Gläser zu verschenken.', 'Verschiedene Gläser sind zu verschenken.', 'Die Biertulpen , einigen Wein und...'];48147;['Centrum'];22.07.2020   2020-07-24
['EU-Projekt: Praktikum in Schottland für Arbeitssuchende'];['LernRaum Europa ESF-finanziertes Projekt zur Berufsfindung mit integriertem Auslandspraktikum in...'];48151;['Centrum'];22.07.2020   2020-07-24
['Basica Trinkpulver MHD 09/2020 wenig entnommen'];['nur Abholung'];48147;['Centrum'];22.07.2020   2020-07-24
['Gartenbank'];['Eine Gartenbank aus Plastik zu verschenken - voll funktionstüchtig!'];48145;['Centrum'];22.07.2020   2020-07-24
['reserviert - süßes Spitzenshirt in 38'];['Reserviert bis zum 1.7. :-)', 'würde mich freuen, wenn jemand nochmal Spaß damit hätte!', 'nach wie vor...'];48155;['Centrum'];22.07.2020   2020-07-24
['Technische Mechanik 1 (Statik)'];['Das Buch ist in einem Zustand den ich als OK beschreiben würde. Keine rausgerissenen Seiten, aber...'];48145;['Mauritz'];22.07.2020   2020-07-24
['2 Paar dickere Socken'];['Verschenke zwei Paar dickere Socken. Sie sind Größe 35-38.', 'Es handelt sich um einen Privatverkauf....'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Stoff Tiere zu verschenken.'];['Habe hier einen Haufen Stofftiere zu verschenken.'];48157;['Coerde'];22.07.2020   2020-07-24
['Kochbuch Chinesisch'];['Zu verschenken in der Aaseestadt'];48163;['Mecklenbeck'];22.07.2020   2020-07-24
['Elektrische Zahnbürste Reserviert'];['Ich verschenke diese elektrische Zahnbürste von Dontodent (ohne Putzköpfe)', 'Die Aufsätze zum Putzen...'];48147;['Centrum'];22.07.2020   2020-07-24
['Gläser und Tassen'];['Gläser und Tassen zu verschenken'];48155;['Centrum'];22.07.2020   2020-07-24
['Ravensburger ich komme in die Schule.'];['Wieso Weshalb Warum von Ravensburger. Ich komme in die Schule. Alle klappen enthalten. Die Tafel am...'];48157;['Coerde'];22.07.2020   2020-07-24
['Trockner an Bastler zu verschenken'];['Hallo wir haben unseren Abluft Trockner an Bastler zu verschenken..', 'Err lief noch super aber auf...'];48159;['Kinderhaus'];22.07.2020   2020-07-24
['Zwei Stühle'];['Zwei schwarze Stühle mit grauem Sitzbezuh'];48151;['Centrum'];22.07.2020   2020-07-24
['-RESERVIERT- Kartons zu Verschenken'];['Drei größere Kartons zu Verschenken, falls jemand selbst viel zu versenden hat.'];48145;['Mauritz'];22.07.2020   2020-07-24
['Panasonic TH-37PV71FA Plasma-TV (defekt)'];['Hallo,', 'ich verschenke einen defekten Panasonic TH-37PV71FA, er ist bei einem Umzug heruntergefallen...'];48143;['Centrum'];22.07.2020   2020-07-24
['Spülmaschine AEG Öko-Favorit'];['AEG-Spülmaschine Öko-Favorit, Einbaugerät, 22Jahre alt, Türschließmechanik kaputt, ansonsten...'];48155;['Mauritz'];22.07.2020   2020-07-24
['Alte deutsche Landkarten und Städteansichten'];['Alte deutsche Landkarten und Städteansichten, Nr. M 840 in Box,\xa0 über 50 der schönsten deutschen...'];48159;['Kinderhaus'];22.07.2020   2020-07-24
['Sitzpolster'];['Jeweils 2 von jeder Sorte!'];48153;['Centrum'];22.07.2020   2020-07-24
['Fussball poster'];['Das Neymar Poster ist ein wenig gerissen, sieht man auf dem Bild!'];48153;['Centrum'];22.07.2020   2020-07-24
['Reserviert S. - Bellarom Instant-Kaffee Kaffee-Granulat'];['Angebrochen, aber fast voll (200g)', '', 'Abzuholen in MS-Rumphorst', '', 'Keine Rücknahme, kein Versand'];48147;['Centrum'];22.07.2020   2020-07-24
['rotes Schlüsselband mit Schnalle'];['Verschenke dieses Schlüsselband.', 'Es handelt sich um einen Privatverkauf. Versand ist bei...'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Palette zu verschenken Holz keine Europalette!'];['Nur Abholung'];48163;['Albachten'];22.07.2020   2020-07-24
['Cd Regal aus Holz'];['Für Selbstabholer in Münster Roxel!!!!'];48161;['Roxel'];22.07.2020   2020-07-24
['Lampe mit weißem Schirm'];['Ursprünglich von IKEA (20€)'];48151;['Centrum'];22.07.2020   2020-07-24
['Sofas abzugeben'];['1x Zweisitzer', '1x Dreisitzer', '', 'Sofort abholbar!'];48143;['Centrum'];22.07.2020   2020-07-24
['Babydecken 80x 60cm 3 Stück'];['Verschenke drei Decken/ Babydecken.', 'Größe 80x 60 cm.', 'Die Dinosaurierdecke ist selber gemacht...'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Stühle zu verschenken'];['4 Stühle, 2 davon mit Lehne. Gebrauchter Zustand. Sehr bequem!'];48163;['Geist'];22.07.2020   2020-07-24
['Unbenutztes Rohr zu verschenken'];['Verschenke dieses unbenutzt Rohr'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Rohr zu verschenken . Unbenutzt'];['Verschenke dieses Rohr mit Winkel.', '', 'Ist nach Umbau übrig geblieben und unbenutzt'];48161;['Gievenbeck'];22.07.2020   2020-07-24
['Fünf Trinkgläser zu verschenken'];['Verschenke gebrauchte Trinkgläser. Abzuholen in Münster Zentrum.'];48143;['Centrum'];22.07.2020   2020-07-24
['Glasscheibe zu verschenken'];['Glasscheibe 130x90cm, 1 cm stark, als Tischplatte verwendbar', '', 'Zu verschenken an Abholer'];48157;['Handorf'];22.07.2020   2020-07-24
['Stofftier Faultier'];['Stofftier Faultier „Chill Out“'];48149;['Gievenbeck'];22.07.2020   2020-07-24
['4Stühle zu verschenken'];['4 ziemlich abgenutzte Stühle. Vielleicht findet ja noch jemand Nutzen daran'];48149;['Gievenbeck'];22.07.2020   2020-07-24
['Isolation Schutzhülle Emil Flasche'];['Blaue Isolationsflasche von Emil, Sport'];48147;['Centrum'];22.07.2020   2020-07-24
['Hochzeitsdekoration'];['Einige (grün)weiße Weinflaschen als Deko für den Hochzeitstisch.'];48151;['Geist'];21.07.2020   2020-07-24
['Peep Toe Pump schwarz Leder'];['Klassischer Peep Toe Pump von 5th Avenue. Obermaterial, Futter und Decksohle Echt Leder'];48149;['Centrum'];21.07.2020   2020-07-24
